Area ID,Area Name,Battle Type,Doll ID,Type,Name,Level,Affection,Oathed,Skill1,Skill2,Equip1,Equip2,Equip3,Combat Effectiveness,Predicted Damage (1-Fairy),Predicted Damage (2-Fairy),Predicted Damage (3-Fairy),Predicted Damage (4-Fairy),Rank
714,Elementary4,Day,126,HG,NZ75,100,100,0,1,0,Exclusive (5-Star),-,T-Exo (5-Star),3173,436,523,610,698,48
714,Elementary4,Day,260,HG,PA-15,100,100,0,4,0,Silencer (5-Star),-,T-Exo (5-Star),3162,434,521,608,695,49
714,Elementary4,Day,99,HG,Gr Mk23,100,100,0,8,0,Silencer (5-Star),-,T-Exo (5-Star),3139,431,517,604,690,50
714,Elementary4,Day,20091,HG,MP-446 Mod,115,100,0,8,4,Silencer (5-Star),-,T-Exo (5-Star),3137,431,517,603,690,51
714,Elementary4,Day,20103,SMG,UMP45 Mod,110,100,0,10,0,T-Exo (5-Star),-,Holographic (5-Star),5688,426,511,597,682,52
714,Elementary4,Day,234,SMG,JS 9,100,100,0,8,0,T-Exo (5-Star),-,Silencer (5-Star),5629,422,506,591,675,53
714,Elementary4,Day,20101,SMG,UMP9 Mod,110,100,0,5,5,T-Exo (5-Star),-,Silencer (5-Star),5624,421,506,590,674,54
714,Elementary4,Day,104,SMG,Gr G36c,100,100,0,10,0,T-Exo (5-Star),-,Silencer (5-Star),5624,421,506,590,674,55
714,Elementary4,Day,130,AR,Type97,100,100,0,3,0,Exclusive (5-Star),-,T-Exo (5-Star),4529,396,475,554,634,56
714,Elementary4,Day,20032,SMG,Micro Uzi Mod,115,100,0,6,4,T-Exo (5-Star),-,Optical (5-Star),5282,396,475,554,633,57
714,Elementary4,Day,212,HG,K5,100,100,0,8,0,Night Equip (5-Star),-,X-Exo (4-Star),2829,388,466,544,622,58
714,Elementary4,Day,20002,HG,M1911 Mod,110,100,0,4,4,Night Equip (5-Star),-,X-Exo (4-Star),2763,379,455,531,607,59
714,Elementary4,Day,20053,RF,NTW-20 Mod,115,100,0,9,7,Exclusive (5-Star),Optical (5-Star),Camo Cloak (5-Star),7126,356,427,498,570,60
714,Elementary4,Day,50,RF,Lee Enfield,100,100,0,10,0,AP Round (5-Star),Exclusive (5-Star),Camo Cloak (5-Star),6968,348,418,487,557,61
714,Elementary4,Day,266,RF,R93,100,100,0,10,0,AP Round (5-Star),Optical (5-Star),Camo Cloak (5-Star),6957,347,417,486,556,62
714,Elementary4,Day,1024,RF,Rico,100,100,0,10,0,AP Round (5-Star),Optical (5-Star),Exclusive (5-Star),6907,345,414,483,552,63
714,Elementary4,Day,20252,RF,KSVK Mod,118,100,0,4,10,Exclusive (5-Star),Optical (5-Star),Camo Cloak (5-Star),6895,344,413,482,551,64
714,Elementary4,Day,36,RF,Springfield,100,100,0,1,0,Exclusive (5-Star),Optical (5-Star),Camo Cloak (5-Star),6821,341,409,477,545,65
714,Elementary4,Day,20039,RF,Mosin-Nagant Mod,115,100,0,4,5,AP Round (5-Star),Optical (5-Star),Exclusive (5-Star),6736,336,404,471,538,66
714,Elementary4,Day,20037,RF,M14 Mod,112,100,0,8,8,AP Round (5-Star),Optical (5-Star),Camo Cloak (5-Star),6674,333,400,467,533,67
714,Elementary4,Day,48,RF,WA2000,100,100,0,8,0,AP Round (5-Star),Optical (5-Star),Camo Cloak (5-Star),6670,333,400,466,533,68
714,Elementary4,Day,20095,RF,Type88 Mod,115,100,0,10,10,Exclusive (5-Star),Exclusive (5-Star),Camo Cloak (5-Star),6644,332,398,465,531,69
714,Elementary4,Day,296,RF,Gr SL8,100,100,0,7,0,AP Round (5-Star),Optical (5-Star),Camo Cloak (5-Star),6622,331,397,463,529,70
714,Elementary4,Day,257,RF,M200,100,100,0,10,0,AP Round (5-Star),Optical (5-Star),Camo Cloak (5-Star),6586,329,395,461,526,71
714,Elementary4,Day,198,RF,Carcano M91/38,100,100,0,10,0,AP Round (5-Star),Optical (5-Star),Camo Cloak (5-Star),6552,327,393,458,524,72
714,Elementary4,Day,292,MG,RPK-16,100,100,0,10,0,Special AP Round (5-Star),Optical (5-Star),Ammo Box (5-Star),12774,319,383,447,510,73
714,Elementary4,Day,270,RF,4 Shiki,100,100,0,9,0,Exclusive (5-Star),Optical (5-Star),Camo Cloak (5-Star),6363,318,381,445,509,74
714,Elementary4,Day,253,MG,Lewis,100,100,0,8,0,Special AP Round (5-Star),Optical (5-Star),Ammo Box (5-Star),12660,316,379,443,506,75
714,Elementary4,Day,148,RF,IWS 2000,100,100,0,6,0,AP Round (5-Star),Optical (5-Star),Camo Cloak (5-Star),6316,315,378,442,505,76
714,Elementary4,Day,247,RF,K31,100,100,0,3,0,AP Round (5-Star),Optical (5-Star),Camo Cloak (5-Star),6301,315,378,441,504,77
714,Elementary4,Day,197,RF,Carcano M1891,100,100,0,7,0,AP Round (5-Star),Optical (5-Star),Camo Cloak (5-Star),6258,312,375,438,500,78
714,Elementary4,Day,20075,MG,M1918 Mod,115,100,0,1,2,Special AP Round (5-Star),Optical (5-Star),Exclusive (5-Star),12135,303,364,424,485,79
714,Elementary4,Day,173,MG,PKP,100,100,0,5,0,Special AP Round (5-Star),Optical (5-Star),Ammo Box (5-Star),12141,303,364,424,485,80
714,Elementary4,Day,20154,SG,M500 Mod,117,100,0,1,10,Armor Plate (5-Star),Buckshot Shell (5-Star),Exclusive (5-Star),7653,286,344,401,459,81
714,Elementary4,Day,323,SG,LTLX7000,100,100,0,10,0,Armor Plate (5-Star),Buckshot Shell (5-Star),Night Equip (5-Star),7502,281,337,393,450,82
714,Elementary4,Day,188,SG,S.A.T.8,100,100,0,10,0,Armor Plate (5-Star),Slug Shell (5-Star),Night Equip (5-Star),7418,278,333,389,445,83
714,Elementary4,Day,229,SG,M870,100,100,0,10,0,Armor Plate (5-Star),Flash Shell (5-Star),Night Equip (5-Star),7241,271,325,380,434,84
714,Elementary4,Day,85,MG,PK,90,100,0,5,0,Special AP Round (5-Star),Exclusive (5-Star),Ammo Box (5-Star),10819,270,324,378,432,85
714,Elementary4,Day,282,SG,DP-12,100,100,0,10,0,Armor Plate (5-Star),Flash Shell (5-Star),Night Equip (5-Star),7128,267,320,374,427,86
714,Elementary4,Day,160,SG,Saiga-12,100,100,0,5,0,Armor Plate (5-Star),Flash Shell (5-Star),Night Equip (5-Star),6997,262,314,367,419,87
714,Elementary4,Day,109,MG,Gr MG5,100,100,0,6,0,Special AP Round (5-Star),-,Ammo Box (5-Star),9990,249,299,349,399,88
714,Elementary4,Day,20081,MG,LWMMG Mod,113,100,0,10,7,Special AP Round (5-Star),-,Ammo Box (5-Star),9835,245,295,344,393,89
714,Elementary4,Day,162,SG,SPAS-12,100,100,0,2,0,Armor Plate (5-Star),Flash Shell (5-Star),Night Equip (5-Star),6541,245,294,343,392,90
714,Elementary4,Day,275,MG,M1895 CB,100,100,0,10,0,Special AP Round (5-Star),-,Ammo Box (5-Star),9777,244,293,342,391,91
714,Elementary4,Day,276,MG,Kord,100,100,0,10,0,Special AP Round (5-Star),-,Ammo Box (5-Star),9339,233,280,326,373,92
714,Elementary4,Day,189,SG,USAS-12,100,100,0,1,0,Armor Plate (4-Star),Flash Shell (5-Star),Night Equip (5-Star),6041,226,271,317,362,93
714,Elementary4,Day,1025,SG,Triela,100,100,0,1,0,-,Exclusive (5-Star),Night Equip (5-Star),5147,193,231,270,308,94
714,Elementary4,Day,181,AR,T91,70,100,0,3,0,Night Equip (5-Star),-,-,2163,189,227,264,302,95
714,Elementary4,Day,161,SG,Type97S,100,100,0,1,0,-,Buckshot Shell (5-Star),Night Equip (5-Star),5047,189,227,264,302,96
714,Elementary4,Day,329,RF,SVCh,70,100,0,4,0,AP Round (5-Star),-,-,3118,155,187,218,249,97
714,Elementary4,Day,77,MG,M2HB,90,100,0,4,0,Sniper Round (5-Star),-,Ammo Box (5-Star),5315,132,159,186,212,98
714,Elementary4,Day,94,SMG,Type64,48,100,0,1,0,X-Exo (4-Star),-,-,1339,100,120,140,160,99
714,Elementary4,Day,238,MG,QJY-88,74,100,0,4,0,Sniper Round (5-Star),-,-,3796,94,113,132,151,100
714,Elementary4,Day,1029,AR,Agent 416,99,100,0,10,0,Exclusive (5-Star),Exclusive (5-Star),Exclusive (5-Star),1045,91,109,128,146,101
714,Elementary4,Day,156,SG,Super-Shorty,69,100,0,1,0,-,Buckshot Shell (5-Star),-,2177,81,97,114,130,102
714,Elementary4,Day,310,HG,Rex Zero 1,32,100,0,4,0,-,-,-,509,69,83,97,111,103
714,Elementary4,Day,159,SG,RMB-93,36,100,0,1,0,-,-,-,1250,46,56,65,75,104
714,Elementary4,Day,171,AR,Ribeyrolles,25,100,0,1,0,-,-,-,528,46,55,64,73,105
714,Elementary4,Day,339,MG,RPK-203,50,100,0,4,0,-,-,-,1663,41,49,58,66,106
714,Elementary4,Day,20,SMG,Vector,54,100,0,4,0,X-Exo (4-Star),-,-,554,41,49,58,66,107
714,Elementary4,Day,316,RF,General Liu,30,100,0,4,0,-,-,-,714,35,42,49,57,108
714,Elementary4,Day,302,SG,Defender,83,90,0,10,0,-,Exclusive (5-Star),Night Equip (5-Star),900,33,40,47,54,109
714,Elementary4,Day,337,RF,De Lisle,30,100,0,4,0,-,-,-,671,33,40,46,53,110
714,Elementary4,Day,338,AR,SIG MCX,30,100,0,4,0,-,-,-,342,29,35,41,47,111
714,Elementary4,Day,106,AR,FAL,17,100,0,5,0,-,-,-,288,25,30,35,40,112
714,Elementary4,Day,293,AR,AK-15,1,50,0,8,0,-,-,-,224,19,23,27,31,113
714,Elementary4,Day,24,SMG,PP-2000,1,50,0,1,0,-,-,-,189,14,17,19,22,114
714,Elementary4,Day,231,RF,M82A1,11,100,0,4,0,-,-,-,257,12,15,17,20,115
714,Elementary4,Day,1031,RF,Pekola,10,100,0,6,0,-,-,-,247,12,14,17,19,116
714,Elementary4,Day,352,SG,Nova,1,50,0,7,0,-,-,-,293,10,13,15,17,117
714,Elementary4,Day,351,SG,M26-MASS,1,50,0,1,0,-,-,-,256,9,11,13,15,118
714,Elementary4,Day,34,RF,M1 Garand,1,50,0,1,0,-,-,-,175,8,10,12,14,119
714,Elementary4,Day,125,MG,Gr MG4,10,100,0,4,0,-,-,-,319,7,9,11,12,120
714,Elementary4,Day,41,RF,SKS,1,50,0,1,0,-,-,-,162,8,9,11,12,121
718,Elementary8,Day,20055,AR,M4A1 Mod,119,200,1,10,10,Optical (5-Star),HV Round (5-Star),Exclusive (5-Star),8492,1167,1401,1634,1868,1
718,Elementary8,Day,20122,AR,Gr G11 Mod,116,100,0,10,10,Optical (5-Star),HV Round (5-Star),Exclusive (5-Star),7474,1027,1233,1438,1644,2
718,Elementary8,Day,20065,AR,416 Mod,117,100,0,10,10,Exclusive (5-Star),HV Round (5-Star),Exclusive (5-Star),7162,984,1181,1378,1575,3
718,Elementary8,Day,171,AR,Ribeyrolles,100,100,0,10,0,Red Dot (5-Star),HV Round (5-Star),Chip (5-Star),5508,908,1090,1272,1454,4
718,Elementary8,Day,206,AR,AK-12,100,150,1,10,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),6446,886,1063,1240,1418,5
718,Elementary8,Day,20057,AR,ST AR-15 Mod,120,200,1,10,10,Optical (5-Star),Auxiliary Sights (5-Star),Exclusive (5-Star),6406,880,1056,1233,1409,6
718,Elementary8,Day,205,AR,AN-94,100,150,1,10,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),6371,876,1051,1226,1401,7
718,Elementary8,Day,253,MG,Lewis,100,100,0,8,0,Special AP Round (5-Star),Auxiliary Sights (5-Star),Ammo Box (5-Star),13665,854,1024,1195,1366,8
718,Elementary8,Day,70,AR,FF FNC,100,100,0,4,0,Red Dot (5-Star),HV Round (5-Star),Chip (5-Star),5169,852,1023,1194,1364,9
718,Elementary8,Day,1027,AR,Angelica,100,100,0,8,0,Optical (5-Star),HV Round (5-Star),Exclusive (5-Star),6146,845,1014,1183,1352,10
718,Elementary8,Day,20060,AR,AS Val Mod,115,100,0,10,10,Holographic (5-Star),Exclusive (5-Star),Chip (5-Star),6136,843,1012,1181,1349,11
718,Elementary8,Day,292,MG,RPK-16,100,100,0,10,0,Special AP Round (5-Star),Auxiliary Sights (5-Star),Ammo Box (5-Star),13418,838,1006,1174,1341,12
718,Elementary8,Day,173,MG,PKP,100,100,0,5,0,Special AP Round (5-Star),Auxiliary Sights (5-Star),Ammo Box (5-Star),13132,820,984,1149,1313,13
718,Elementary8,Day,274,AR,ACR,100,100,0,8,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5968,820,984,1148,1312,14
718,Elementary8,Day,109,MG,Gr MG5,100,100,0,6,0,Special AP Round (5-Star),Auxiliary Sights (5-Star),Ammo Box (5-Star),13007,812,975,1138,1300,15
718,Elementary8,Day,20075,MG,M1918 Mod,115,100,0,1,2,Special AP Round (5-Star),Auxiliary Sights (5-Star),Exclusive (5-Star),12917,807,968,1130,1291,16
718,Elementary8,Day,194,AR,K2,100,100,0,8,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5843,803,964,1124,1285,17
718,Elementary8,Day,275,MG,M1895 CB,100,100,0,10,0,Special AP Round (5-Star),Auxiliary Sights (5-Star),Ammo Box (5-Star),12840,802,963,1123,1284,18
718,Elementary8,Day,20081,MG,LWMMG Mod,113,100,0,10,7,Special AP Round (5-Star),Auxiliary Sights (5-Star),Ammo Box (5-Star),12798,799,959,1119,1279,19
718,Elementary8,Day,172,AR,Am RFB,100,100,0,8,0,Exclusive (5-Star),HV Round (5-Star),Chip (5-Star),5818,799,959,1119,1279,20
718,Elementary8,Day,236,AR,K11,100,100,0,4,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5763,792,950,1109,1267,21
718,Elementary8,Day,215,AR,MDR,100,100,0,4,0,Red Dot (5-Star),HV Round (5-Star),Chip (5-Star),5744,789,947,1105,1263,22
718,Elementary8,Day,276,MG,Kord,100,100,0,10,0,Special AP Round (5-Star),Auxiliary Sights (5-Star),Ammo Box (5-Star),12638,789,947,1105,1263,23
718,Elementary8,Day,20056,AR,M4 SOPMOD II Mod,111,100,0,7,7,Optical (5-Star),Auxiliary Sights (5-Star),HV Round (5-Star),5735,788,946,1103,1261,24
718,Elementary8,Day,54,AR,M16A1,100,100,0,4,0,HV Round (5-Star),Armor Plate (5-Star),Chip (5-Star),5664,778,934,1090,1246,25
718,Elementary8,Day,62,AR,Gr G41,100,100,0,5,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5611,771,925,1080,1234,26
718,Elementary8,Day,85,MG,PK,90,100,0,5,0,Special AP Round (5-Star),Auxiliary Sights (5-Star),Ammo Box (5-Star),11453,715,858,1002,1145,27
718,Elementary8,Day,330,AR,FX-05,100,100,0,10,0,Holographic (5-Star),-,Chip (5-Star),4915,675,810,946,1081,28
718,Elementary8,Day,196,AR,Zas M21,96,100,0,7,0,Holographic (5-Star),-,Chip (5-Star),4837,665,798,931,1064,29
718,Elementary8,Day,130,AR,Type97,100,100,0,3,0,Holographic (5-Star),-,Chip (5-Star),4839,665,798,931,1064,30
718,Elementary8,Day,183,HG,Contender,100,100,0,8,0,Auxiliary Sights (5-Star),AP Round (5-Star),X-Exo (5-Star),4795,659,791,923,1054,31
718,Elementary8,Day,20097,HG,M950A Mod,115,100,0,10,10,Exclusive (5-Star),HP Round (5-Star),X-Exo (5-Star),4377,601,722,842,962,32
718,Elementary8,Day,118,AR,9A-91,100,100,0,10,0,Optical (5-Star),-,T-Exo (5-Star),4314,593,711,830,949,33
718,Elementary8,Day,20221,HG,GSh-18 Mod,117,100,0,6,6,Silencer (5-Star),Exclusive (5-Star),T-Exo (5-Star),4125,567,680,794,907,34
718,Elementary8,Day,213,SMG,C-MS,100,100,0,10,0,T-Exo (5-Star),AP Round (5-Star),Red Dot (5-Star),7391,554,665,776,886,35
718,Elementary8,Day,20007,HG,Stechkin Mod,112,100,0,10,4,Exclusive (5-Star),HP Round (5-Star),T-Exo (5-Star),3942,542,650,758,867,36
718,Elementary8,Day,20001,HG,SAA Mod,115,100,0,10,10,Silencer (5-Star),HP Round (5-Star),T-Exo (5-Star),3905,536,644,751,859,37
718,Elementary8,Day,233,HG,Px4 Storm,100,100,0,10,0,Exclusive (5-Star),HP Round (5-Star),X-Exo (5-Star),3872,532,638,745,851,38
718,Elementary8,Day,20143,SMG,RO635 Mod,115,98,0,10,10,Exclusive (5-Star),HP Round (5-Star),Holographic (5-Star),7090,531,638,744,850,39
718,Elementary8,Day,242,HG,P22,100,100,0,10,0,Silencer (5-Star),HP Round (5-Star),X-Exo (5-Star),3865,531,637,744,850,40
718,Elementary8,Day,20026,SMG,Gr MP5 Mod,115,100,0,10,10,Exclusive (5-Star),HP Round (5-Star),Exclusive (5-Star),7069,530,636,742,848,41
718,Elementary8,Day,294,HG,Webley,100,100,0,10,0,Silencer (5-Star),HP Round (5-Star),T-Exo (5-Star),3859,530,636,742,848,42
718,Elementary8,Day,6,HG,Tokarev,100,100,0,1,0,Silencer (5-Star),HP Round (5-Star),T-Exo (5-Star),3191,526,631,737,842,43
718,Elementary8,Day,96,HG,Grizzly,100,100,0,10,0,Silencer (5-Star),HP Round (5-Star),Exclusive (5-Star),3813,524,629,734,838,44
718,Elementary8,Day,250,HG,HS2000,100,100,0,10,0,Silencer (5-Star),HP Round (5-Star),X-Exo (5-Star),3783,520,624,728,832,45
718,Elementary8,Day,188,SG,S.A.T.8,100,100,0,10,0,Armor Plate (5-Star),Buckshot Shell (5-Star),Holographic (5-Star),7892,493,591,690,789,46
718,Elementary8,Day,323,SG,LTLX7000,100,100,0,10,0,Armor Plate (5-Star),Buckshot Shell (5-Star),Holographic (5-Star),7894,493,592,690,789,47
718,Elementary8,Day,303,HG,HP-35,100,100,0,10,0,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),3578,491,590,688,787,48
718,Elementary8,Day,4,HG,Python,100,100,0,10,0,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),3550,488,585,683,781,49
718,Elementary8,Day,105,AR,OTs-12,91,100,0,3,0,Optical (5-Star),-,T-Exo (5-Star),3547,487,585,682,780,50
718,Elementary8,Day,272,HG,Desert Eagle,100,100,0,10,0,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),3527,484,581,678,775,51
718,Elementary8,Day,285,HG,C-93,100,100,0,10,0,Silencer (5-Star),Signal Flare (5-Star),X-Exo (5-Star),3504,481,578,674,770,52
718,Elementary8,Day,20154,SG,M500 Mod,117,100,0,1,10,Armor Plate (5-Star),Buckshot Shell (5-Star),Exclusive (5-Star),7653,478,573,669,765,53
718,Elementary8,Day,229,SG,M870,100,100,0,10,0,Armor Plate (5-Star),Buckshot Shell (5-Star),Holographic (5-Star),7644,477,573,668,764,54
718,Elementary8,Day,142,HG,Five-seven,100,100,0,10,0,Silencer (5-Star),Signal Flare (5-Star),X-Exo (5-Star),3445,473,568,663,757,55
718,Elementary8,Day,20005,HG,M1895 Mod,115,95,0,7,8,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),3437,472,567,661,756,56
718,Elementary8,Day,16,SMG,Thompson,100,100,0,10,0,Exclusive (5-Star),Signal Flare (5-Star),Silencer (5-Star),6260,469,563,657,751,57
718,Elementary8,Day,114,HG,Welrod MkⅡ,100,100,0,4,0,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),3411,469,562,656,750,58
718,Elementary8,Day,282,SG,DP-12,100,100,0,10,0,Armor Plate (5-Star),Buckshot Shell (5-Star),Optical (5-Star),7331,458,549,641,733,59
718,Elementary8,Day,126,HG,NZ75,100,100,0,1,0,Exclusive (5-Star),Signal Flare (5-Star),X-Exo (5-Star),3324,457,548,639,731,60
718,Elementary8,Day,1009,HG,El Clear,100,100,0,10,0,Exclusive (5-Star),Signal Flare (5-Star),X-Exo (5-Star),3284,451,541,632,722,61
718,Elementary8,Day,160,SG,Saiga-12,100,100,0,5,0,Armor Plate (5-Star),Slug Shell (5-Star),Optical (5-Star),7202,450,540,630,720,62
718,Elementary8,Day,127,SMG,Type79,100,100,0,6,0,T-Exo (5-Star),Exclusive (5-Star),Optical (5-Star),5694,427,512,597,683,63
