Datetime,Mission ID,Mission,Mission Attempt,Doll Type,Doll Name,Doll Rarity,Doll Core,Equip Type,Equip Name,Equip Rarity
2021-09-27 15:26:37,124,Morning Conference IV,2488,HG,M1911,2,0,,,
2021-09-27 15:26:51,124,Morning Conference IV,2488,RF,SKS,2,0,,,
2021-09-27 15:28:28,124,Morning Conference IV,2489,MG,MG34,2,0,,,
2021-09-27 15:28:55,124,Morning Conference IV,2489,HG,Astra,3,1,,,
2021-09-27 15:29:22,124,Morning Conference IV,2489,SMG,Micro Uzi,3,1,,,
2021-09-27 15:29:35,124,Morning Conference IV,2489,RF,FF FN49,2,0,,,
2021-09-27 15:31:09,124,Morning Conference IV,2490,AR,Galil,2,0,,,
2021-09-27 15:31:42,124,Morning Conference IV,2490,HG,FF FNP9,2,0,,,
2021-09-27 15:32:08,124,Morning Conference IV,2490,SMG,PP-2000,2,0,,,
2021-09-27 15:32:22,124,Morning Conference IV,2490,SMG,PP-2000,2,0,,,
2021-09-27 15:37:24,124,Morning Conference IV,2491,MG,MG34,2,0,,,
2021-09-27 15:37:54,124,Morning Conference IV,2491,AR,FF F2000,2,0,,,
2021-09-27 15:38:25,124,Morning Conference IV,2491,SMG,PP-2000,2,0,,,
2021-09-27 15:38:52,124,Morning Conference IV,2491,AR,FF F2000,2,0,,,
2021-09-27 15:39:06,124,Morning Conference IV,2491,SMG,M38,2,0,,,
2021-09-27 16:03:40,124,Morning Conference IV,2492,SMG,PP-2000,2,0,,,
2021-09-27 16:04:06,124,Morning Conference IV,2492,MG,MG34,2,0,,,
2021-09-27 16:04:33,124,Morning Conference IV,2492,HG,FF FNP9,2,0,,,
2021-09-27 16:04:46,124,Morning Conference IV,2492,HG,Bren Ten,2,0,,,
2021-09-27 16:05:39,124,Morning Conference IV,2493,HG,M1911,2,0,,,
2021-09-27 16:06:05,124,Morning Conference IV,2493,SMG,M3,2,0,,,
2021-09-27 16:06:37,124,Morning Conference IV,2493,RF,FF FN49,2,0,,,
2021-09-27 16:07:04,124,Morning Conference IV,2493,AR,FF FNC,3,1,,,
2021-09-27 16:07:17,124,Morning Conference IV,2493,SMG,PP-2000,2,0,,,
2021-09-27 16:08:40,124,Morning Conference IV,2494,AR,Gr G3,2,0,,,
2021-09-27 16:09:11,124,Morning Conference IV,2494,AR,Gr G3,2,0,,,
2021-09-27 16:09:37,124,Morning Conference IV,2494,MG,MG34,2,0,,,
2021-09-27 16:10:04,124,Morning Conference IV,2494,AR,FF F2000,2,0,,,
2021-09-27 16:10:18,124,Morning Conference IV,2494,HG,M9,3,1,,,
2021-09-27 16:11:17,124,Morning Conference IV,2495,SMG,M3,2,0,,,
2021-09-27 16:11:43,124,Morning Conference IV,2495,RF,SKS,2,0,,,
2021-09-27 16:12:12,124,Morning Conference IV,2495,RF,FF FN49,2,0,,,
2021-09-27 16:12:39,124,Morning Conference IV,2495,MG,MG34,2,0,,,
2021-09-27 16:12:52,124,Morning Conference IV,2495,SMG,Spectre M4,2,0,,,
2021-09-27 16:14:53,124,Morning Conference IV,2496,MG,AAT-52,2,0,,,
2021-09-27 16:15:19,124,Morning Conference IV,2496,AR,Galil,2,0,,,
2021-09-27 16:15:50,124,Morning Conference IV,2496,AR,Galil,2,0,,,
2021-09-27 16:16:16,124,Morning Conference IV,2496,MG,AAT-52,2,0,,,
2021-09-27 16:16:30,124,Morning Conference IV,2496,HG,Bren Ten,2,0,,,
2021-09-27 16:17:47,124,Morning Conference IV,2497,SMG,Skorpion,3,1,,,
2021-09-27 16:18:16,124,Morning Conference IV,2497,SMG,PP-2000,2,0,,,
2021-09-27 16:18:43,124,Morning Conference IV,2497,SMG,PP-2000,2,0,,,
2021-09-27 16:18:57,124,Morning Conference IV,2497,MG,LWMMG,2,0,,,
2021-09-27 16:21:40,124,Morning Conference IV,2498,AR,Gr G3,2,0,,,
2021-09-27 16:22:11,124,Morning Conference IV,2498,RF,FF FN49,2,0,,,
2021-09-27 16:22:42,124,Morning Conference IV,2498,AR,Gr G3,2,0,,,
2021-09-27 16:23:09,124,Morning Conference IV,2498,HG,Bren Ten,2,0,,,
2021-09-27 16:23:22,124,Morning Conference IV,2498,MG,M2HB,3,1,,,
2021-09-27 16:25:00,124,Morning Conference IV,2499,RF,SKS,2,0,,,
2021-09-27 16:25:26,124,Morning Conference IV,2499,HG,M9,3,1,,,
2021-09-27 16:25:56,124,Morning Conference IV,2499,HG,M1911,2,0,,,
2021-09-27 16:26:23,124,Morning Conference IV,2499,MG,M2HB,3,1,,,
2021-09-27 16:26:36,124,Morning Conference IV,2499,AR,Galil,2,0,,,
2021-09-27 16:29:44,124,Morning Conference IV,2500,AR,Galil,2,0,,,
2021-09-27 16:30:16,124,Morning Conference IV,2500,AR,Galil,2,0,,,
2021-09-27 16:30:43,124,Morning Conference IV,2500,AR,Gr G3,2,0,,,
2021-09-27 16:30:56,124,Morning Conference IV,2500,MG,LWMMG,2,0,,,
2021-09-27 17:17:01,124,Morning Conference IV,2501,HG,FF FNP9,2,0,,,
2021-09-27 17:17:33,124,Morning Conference IV,2501,AR,AK-47,3,1,,,
2021-09-27 17:18:24,124,Morning Conference IV,2501,HG,FF FNP9,2,0,,,
2021-09-27 17:18:38,124,Morning Conference IV,2501,SMG,M38,2,0,,,
2021-09-27 17:20:07,124,Morning Conference IV,2502,HG,M9,3,1,,,
2021-09-27 17:20:32,124,Morning Conference IV,2502,MG,LWMMG,2,0,,,
2021-09-27 17:21:08,124,Morning Conference IV,2502,SMG,Skorpion,3,1,,,
2021-09-27 17:21:35,124,Morning Conference IV,2502,SMG,PP-2000,2,0,,,
2021-09-27 17:21:48,124,Morning Conference IV,2502,AR,FF F2000,2,0,,,
2021-09-27 17:23:09,124,Morning Conference IV,2503,SMG,Type64,2,0,,,
2021-09-27 17:23:40,124,Morning Conference IV,2503,RF,M14,3,1,,,
2021-09-27 17:24:07,124,Morning Conference IV,2503,SMG,M38,2,0,,,
2021-09-27 17:24:34,124,Morning Conference IV,2503,SMG,M3,2,0,,,
2021-09-27 17:24:47,124,Morning Conference IV,2503,SMG,PP-2000,2,0,,,
2021-09-27 17:25:47,124,Morning Conference IV,2504,HG,Makarov,3,1,,,
2021-09-27 17:26:13,124,Morning Conference IV,2504,SMG,M38,2,0,,,
2021-09-27 17:27:06,124,Morning Conference IV,2504,HG,FF FNP9,2,0,,,
2021-09-27 17:27:20,124,Morning Conference IV,2504,SMG,Spectre M4,2,0,,,
2021-09-27 17:29:03,124,Morning Conference IV,2505,SMG,Type64,2,0,,,
2021-09-27 17:29:28,124,Morning Conference IV,2505,RF,FF FN49,2,0,,,
2021-09-27 17:30:20,124,Morning Conference IV,2505,RF,FF FN49,2,0,,,
2021-09-27 17:30:34,124,Morning Conference IV,2505,SMG,Spectre M4,2,0,,,
2021-09-27 17:31:42,124,Morning Conference IV,2506,SMG,M38,2,0,,,
2021-09-27 17:32:16,124,Morning Conference IV,2506,SMG,Spectre M4,2,0,,,
2021-09-27 17:32:50,124,Morning Conference IV,2506,HG,FF FNP9,2,0,,,
2021-09-27 17:33:16,124,Morning Conference IV,2506,HG,M1911,2,0,,,
2021-09-27 17:33:30,124,Morning Conference IV,2506,SMG,MAT-49,4,3,,,
2021-09-27 17:34:52,124,Morning Conference IV,2507,SMG,Type64,2,0,,,
2021-09-27 17:35:18,124,Morning Conference IV,2507,MG,MG34,2,0,,,
2021-09-27 17:35:45,124,Morning Conference IV,2507,MG,LWMMG,2,0,,,
2021-09-27 17:35:58,124,Morning Conference IV,2507,MG,MG34,2,0,,,
2021-09-27 17:37:38,124,Morning Conference IV,2508,AR,FF FNC,3,1,,,
2021-09-27 17:38:25,124,Morning Conference IV,2508,MG,LWMMG,2,0,,,
2021-09-27 17:38:39,124,Morning Conference IV,2508,SMG,M38,2,0,,,
2021-09-27 17:40:29,124,Morning Conference IV,2509,SMG,M3,2,0,,,
2021-09-27 17:40:59,124,Morning Conference IV,2509,AR,Galil,2,0,,,
2021-09-27 17:41:26,124,Morning Conference IV,2509,AR,FF F2000,2,0,,,
2021-09-27 17:41:39,124,Morning Conference IV,2509,AR,Galil,2,0,,,
2021-09-27 17:44:37,124,Morning Conference IV,2510,HG,M9,3,1,,,
2021-09-27 17:45:12,124,Morning Conference IV,2510,SMG,PP-2000,2,0,,,
2021-09-27 17:45:38,124,Morning Conference IV,2510,MG,M2HB,3,1,,,
2021-09-27 17:46:05,124,Morning Conference IV,2510,AR,Gr G3,2,0,,,
2021-09-27 17:46:19,124,Morning Conference IV,2510,HG,Bren Ten,2,0,,,
2021-09-27 17:47:30,124,Morning Conference IV,2511,AR,FF F2000,2,0,,,
2021-09-27 17:47:56,124,Morning Conference IV,2511,AR,Galil,2,0,,,
2021-09-27 17:48:23,124,Morning Conference IV,2511,HG,Bren Ten,2,0,,,
2021-09-27 17:48:49,124,Morning Conference IV,2511,MG,M2HB,3,1,,,
2021-09-27 17:49:03,124,Morning Conference IV,2511,HG,P38,2,0,,,
2021-09-27 17:50:07,124,Morning Conference IV,2512,RF,SKS,2,0,,,
2021-09-27 17:50:33,124,Morning Conference IV,2512,MG,MG34,2,0,,,
2021-09-27 17:51:00,124,Morning Conference IV,2512,AR,Gr G3,2,0,,,
2021-09-27 17:51:26,124,Morning Conference IV,2512,RF,SKS,2,0,,,
2021-09-27 17:51:40,124,Morning Conference IV,2512,AR,Gr G3,2,0,,,
2021-09-27 17:52:41,124,Morning Conference IV,2513,AR,Galil,2,0,,,
2021-09-27 17:53:13,124,Morning Conference IV,2513,SMG,Spectre M4,2,0,,,
2021-09-27 17:53:40,124,Morning Conference IV,2513,SMG,M38,2,0,,,
2021-09-27 17:54:07,124,Morning Conference IV,2513,SMG,M3,2,0,,,
2021-09-27 17:54:20,124,Morning Conference IV,2513,SMG,Skorpion,3,1,,,
2021-09-27 17:55:25,124,Morning Conference IV,2514,HG,M1911,2,0,,,
2021-09-27 17:55:50,124,Morning Conference IV,2514,SMG,MAT-49,4,3,,,
2021-09-27 17:56:23,124,Morning Conference IV,2514,MG,MG34,2,0,,,
2021-09-27 17:56:50,124,Morning Conference IV,2514,HG,Bren Ten,2,0,,,
2021-09-27 17:57:03,124,Morning Conference IV,2514,AR,FF F2000,2,0,,,
2021-09-27 17:58:40,124,Morning Conference IV,2515,HG,C96,3,1,,,
2021-09-27 17:59:06,124,Morning Conference IV,2515,RF,FF FN49,2,0,,,
2021-09-27 17:59:59,124,Morning Conference IV,2515,SMG,Spectre M4,2,0,,,
2021-09-27 18:00:13,124,Morning Conference IV,2515,AR,Gr G3,2,0,,,
2021-09-27 18:03:53,124,Morning Conference IV,2516,MG,MG42,3,1,,,
2021-09-27 18:04:29,124,Morning Conference IV,2516,SMG,Micro Uzi,3,1,,,
2021-09-27 18:05:01,124,Morning Conference IV,2516,AR,Gr G3,2,0,,,
2021-09-27 18:05:28,124,Morning Conference IV,2516,HG,M9,3,1,,,
2021-09-27 18:05:41,124,Morning Conference IV,2516,HG,P38,2,0,,,
2021-09-27 18:07:10,124,Morning Conference IV,2517,HG,Astra,3,1,,,
2021-09-27 18:07:44,124,Morning Conference IV,2517,MG,AAT-52,2,0,,,
2021-09-27 18:08:32,124,Morning Conference IV,2517,SMG,M38,2,0,,,
2021-09-27 18:08:45,124,Morning Conference IV,2517,AR,Gr G3,2,0,,,
2021-09-27 18:14:49,124,Morning Conference IV,2518,SMG,Skorpion,3,1,,,
2021-09-27 18:15:15,124,Morning Conference IV,2518,MG,MG34,2,0,,,
2021-09-27 18:15:42,124,Morning Conference IV,2518,RF,FF FN49,2,0,,,
2021-09-27 18:16:09,124,Morning Conference IV,2518,HG,FF FNP9,2,0,,,
2021-09-27 18:16:22,124,Morning Conference IV,2518,RF,SKS,2,0,,,
2021-09-27 18:17:37,124,Morning Conference IV,2519,SMG,M3,2,0,,,
2021-09-27 18:18:09,124,Morning Conference IV,2519,AR,Gr G3,2,0,,,
2021-09-27 18:18:40,124,Morning Conference IV,2519,SMG,Micro Uzi,3,1,,,
2021-09-27 18:19:07,124,Morning Conference IV,2519,AR,Gr G3,2,0,,,
2021-09-27 18:19:21,124,Morning Conference IV,2519,HG,P38,2,0,,,
2021-09-27 18:20:31,124,Morning Conference IV,2520,MG,AAT-52,2,0,,,
2021-09-27 18:21:03,124,Morning Conference IV,2520,HG,Makarov,3,1,,,
2021-09-27 18:21:30,124,Morning Conference IV,2520,SMG,M3,2,0,,,
2021-09-27 18:21:57,124,Morning Conference IV,2520,RF,SKS,2,0,,,
2021-09-27 18:22:10,124,Morning Conference IV,2520,AR,Galil,2,0,,,
2021-09-27 18:23:45,124,Morning Conference IV,2521,AR,FF F2000,2,0,,,
2021-09-27 18:24:15,124,Morning Conference IV,2521,MG,MG42,3,1,,,
2021-09-27 18:24:42,124,Morning Conference IV,2521,AR,Gr G3,2,0,,,
2021-09-27 18:24:56,124,Morning Conference IV,2521,SMG,Skorpion,3,1,,,
2021-09-27 18:26:40,124,Morning Conference IV,2522,HG,P38,2,0,,,
2021-09-27 18:27:05,124,Morning Conference IV,2522,SMG,Spectre M4,2,0,,,
2021-09-27 18:27:55,124,Morning Conference IV,2522,MG,LWMMG,2,0,,,
2021-09-27 18:28:08,124,Morning Conference IV,2522,SMG,Type64,2,0,,,
2021-09-27 18:29:03,124,Morning Conference IV,2523,HG,Makarov,3,1,,,
2021-09-27 18:29:28,124,Morning Conference IV,2523,MG,AAT-52,2,0,,,
2021-09-27 18:29:59,124,Morning Conference IV,2523,HG,M1911,2,0,,,
2021-09-27 18:30:26,124,Morning Conference IV,2523,HG,Makarov,3,1,,,
2021-09-27 18:30:39,124,Morning Conference IV,2523,SMG,Spectre M4,2,0,,,
2021-09-27 18:41:20,124,Morning Conference IV,2524,HG,P38,2,0,,,
2021-09-27 18:41:46,124,Morning Conference IV,2524,AR,Galil,2,0,,,
2021-09-27 18:42:34,124,Morning Conference IV,2524,HG,M1911,2,0,,,
2021-09-27 18:42:48,124,Morning Conference IV,2524,AR,Galil,2,0,,,
2021-09-27 18:44:26,124,Morning Conference IV,2525,AR,Gr G3,2,0,,,
2021-09-27 18:44:58,124,Morning Conference IV,2525,HG,C96,3,1,,,
2021-09-27 18:45:24,124,Morning Conference IV,2525,HG,M1911,2,0,,,
2021-09-27 18:45:51,124,Morning Conference IV,2525,MG,AAT-52,2,0,,,
2021-09-27 18:46:05,124,Morning Conference IV,2525,HG,Astra,3,1,,,
2021-09-27 18:48:57,124,Morning Conference IV,2526,MG,MG34,2,0,,,
2021-09-27 18:49:32,124,Morning Conference IV,2526,HG,Bren Ten,2,0,,,
2021-09-27 18:50:22,124,Morning Conference IV,2526,SMG,M3,2,0,,,
2021-09-27 18:50:35,124,Morning Conference IV,2526,SMG,M38,2,0,,,
2021-09-27 18:52:15,124,Morning Conference IV,2527,AR,FF F2000,2,0,,,
2021-09-27 18:52:41,124,Morning Conference IV,2527,HG,P38,2,0,,,
2021-09-27 18:53:09,124,Morning Conference IV,2527,AR,FF FNC,3,1,,,
2021-09-27 18:53:22,124,Morning Conference IV,2527,MG,LWMMG,2,0,,,
2021-09-27 18:54:14,124,Morning Conference IV,2528,AR,FF F2000,2,0,,,
2021-09-27 18:54:46,124,Morning Conference IV,2528,SMG,PP-2000,2,0,,,
2021-09-27 18:55:12,124,Morning Conference IV,2528,HG,FF FNP9,2,0,,,
2021-09-27 18:55:39,124,Morning Conference IV,2528,SMG,Ingram,3,1,,,
2021-09-27 18:55:53,124,Morning Conference IV,2528,AR,Galil,2,0,,,
2021-09-27 19:10:43,124,Morning Conference IV,2529,SMG,M3,2,0,,,
2021-09-27 19:11:09,124,Morning Conference IV,2529,HG,Bren Ten,2,0,,,
2021-09-27 19:11:36,124,Morning Conference IV,2529,AR,AK-47,3,1,,,
2021-09-27 19:11:50,124,Morning Conference IV,2529,HG,M1911,2,0,,,
2021-09-27 19:14:08,124,Morning Conference IV,2530,HG,Makarov,3,1,,,
2021-09-27 19:14:34,124,Morning Conference IV,2530,RF,SKS,2,0,,,
2021-09-27 19:15:09,124,Morning Conference IV,2530,SMG,Spectre M4,2,0,,,
2021-09-27 19:15:36,124,Morning Conference IV,2530,AR,Galil,2,0,,,
2021-09-27 19:15:50,124,Morning Conference IV,2530,HG,M1911,2,0,,,
2021-09-28 22:21:33,10381,Spoiled Staccato,1,MG,DP28,2,0,,,
2021-09-28 22:21:56,10381,Spoiled Staccato,1,AR,Type63,2,0,,,
2021-09-28 22:22:51,10381,Spoiled Staccato,1,MG,DP28,2,0,,,
2021-09-28 22:24:30,10382,Open Bag Surprise,0,HG,FF FNP9,2,0,,,
2021-09-28 22:26:00,10382,Open Bag Surprise,0,MG,AAT-52,2,0,,,
2021-09-28 22:26:26,10382,Open Bag Surprise,0,RF,SKS,2,0,,,
2021-09-28 22:27:36,10383,Shelf Life,0,MG,FG42,2,0,,,
2021-09-28 22:28:04,10383,Shelf Life,0,AR,L85A1,2,0,,,
2021-09-28 22:28:29,10383,Shelf Life,0,SMG,MP40,2,0,,,
2021-09-28 22:29:01,10383,Shelf Life,0,SMG,PPSh-41,2,0,,,
2021-09-28 22:29:26,10383,Shelf Life,0,AR,Type63,2,0,,,
2021-09-28 22:31:55,10383,Shelf Life,0,RF,SV-98,3,1,,,
2021-09-28 22:32:51,10384,Preservative,0,SMG,PP-2000,2,0,,,
2021-09-28 22:33:55,10384,Preservative,0,MG,AAT-52,2,0,,,
2021-09-28 22:34:52,10384,Preservative,0,SMG,M3,2,0,,,
2021-09-28 22:35:18,10384,Preservative,0,SMG,M38,2,0,,,
2021-09-28 22:36:30,10384,Preservative,0,HG,P38,2,0,,,
2021-09-28 22:36:49,10384,Preservative,0,MG,LWMMG,2,0,,,
2021-09-29 00:23:43,10381,Spoiled Staccato,2,HG,M1895,2,0,,,
2021-09-29 00:24:05,10381,Spoiled Staccato,2,MG,FG42,2,0,,,
2021-09-29 00:24:32,10381,Spoiled Staccato,2,HG,M1895,2,0,,,
2021-09-29 00:24:54,10381,Spoiled Staccato,2,SMG,IDW,2,0,,,
2021-09-29 00:25:10,10381,Spoiled Staccato,2,HG,Gr USPCompact,2,0,,,
2021-09-29 00:26:13,10381,Spoiled Staccato,3,RF,VM59,2,0,,,
2021-09-29 00:26:35,10381,Spoiled Staccato,3,MG,DP28,2,0,,,
2021-09-29 00:26:57,10381,Spoiled Staccato,3,MG,FG42,2,0,,,
2021-09-29 00:27:22,10381,Spoiled Staccato,3,SMG,m45,2,0,,,
2021-09-29 00:27:35,10381,Spoiled Staccato,3,RF,KSVK,4,3,,,
2021-09-29 13:51:29,10383,Shelf Life,3,MG,DP28,2,0,,,
2021-09-29 13:51:55,10383,Shelf Life,3,HG,Type92,3,1,,,
2021-09-29 13:52:26,10383,Shelf Life,3,MG,DP28,2,0,,,
2021-09-29 13:52:56,10383,Shelf Life,3,SMG,Type64,2,0,,,
2021-09-29 13:53:25,10383,Shelf Life,3,SMG,MP40,2,0,,,
2021-09-29 13:53:37,10383,Shelf Life,3,HG,MP-446,2,0,,,
2021-09-29 14:03:32,10383,Shelf Life,4,RF,M1 Garand,3,1,,,
2021-09-29 14:04:28,10383,Shelf Life,4,HG,MP-446,2,0,,,
2021-09-29 14:05:23,10383,Shelf Life,4,RF,SVT-38,2,0,,,
2021-09-29 14:05:36,10383,Shelf Life,4,HG,Gr USPCompact,2,0,,,
2021-09-29 18:13:44,10383,Shelf Life,5,SMG,PPSh-41,2,0,,,
2021-09-29 18:14:11,10383,Shelf Life,5,RF,TAC-50,5,5,,,
2021-09-29 18:15:07,10383,Shelf Life,5,HG,Type92,3,1,,,
2021-09-29 18:15:34,10383,Shelf Life,5,HG,M1895,2,0,,,
2021-09-29 18:15:47,10383,Shelf Life,5,MG,DP28,2,0,,,
2021-09-29 18:16:41,10382,Open Bag Surprise,2,HG,M1911,2,0,,,
2021-09-29 18:17:04,10382,Open Bag Surprise,2,HG,P38,2,0,,,
2021-09-29 18:17:15,10382,Open Bag Surprise,2,SMG,M3,2,0,,,
2021-09-29 18:19:51,10382,Open Bag Surprise,3,HG,M1911,2,0,,,
2021-09-29 18:20:44,10382,Open Bag Surprise,3,AR,FF F2000,2,0,,,
2021-09-29 18:21:29,10382,Open Bag Surprise,4,AR,FF F2000,2,0,,,
2021-09-29 18:21:51,10382,Open Bag Surprise,4,HG,FF FNP9,2,0,,,
2021-09-29 18:22:05,10382,Open Bag Surprise,4,SMG,Type64,2,0,,,
2021-09-29 18:22:43,10382,Open Bag Surprise,5,SMG,M38,2,0,,,
2021-09-29 18:23:15,10382,Open Bag Surprise,5,MG,MG34,2,0,,,
2021-09-29 18:23:59,10382,Open Bag Surprise,6,SMG,PP-2000,2,0,,,
2021-09-29 18:24:21,10382,Open Bag Surprise,6,SMG,M38,2,0,,,
2021-09-29 18:24:36,10382,Open Bag Surprise,6,AR,Gr G3,2,0,,,
2021-09-30 18:32:09,10382,Open Bag Surprise,7,MG,LWMMG,2,0,,,
2021-09-30 18:32:26,10382,Open Bag Surprise,7,HG,P38,2,0,,,
2021-09-30 18:32:36,10382,Open Bag Surprise,7,SMG,M38,2,0,,,
2021-09-30 18:33:19,10382,Open Bag Surprise,8,HG,FF FNP9,2,0,,,
2021-09-30 18:33:42,10382,Open Bag Surprise,8,SMG,PP-2000,2,0,,,
2021-09-30 18:33:56,10382,Open Bag Surprise,8,HG,M1911,2,0,,,
2021-09-30 18:34:51,10382,Open Bag Surprise,9,RF,FF FN49,2,0,,,
2021-09-30 18:35:13,10382,Open Bag Surprise,9,AR,Gr G3,2,0,,,
2021-09-30 18:35:28,10382,Open Bag Surprise,9,MG,AAT-52,2,0,,,
2021-09-30 18:38:31,10382,Open Bag Surprise,10,SMG,M3,2,0,,,
2021-09-30 18:39:00,10382,Open Bag Surprise,10,HG,M1911,2,0,,,
2021-09-30 18:40:04,10382,Open Bag Surprise,11,HG,M1911,2,0,,,
2021-09-30 18:40:35,10382,Open Bag Surprise,11,SMG,Spectre M4,2,0,,,
2021-09-30 18:41:39,10382,Open Bag Surprise,12,SMG,Spectre M4,2,0,,,
2021-09-30 18:42:01,10382,Open Bag Surprise,12,HG,P38,2,0,,,
2021-09-30 18:42:16,10382,Open Bag Surprise,12,SMG,Type64,2,0,,,
2021-10-02 13:12:22,10382,Open Bag Surprise,13,AR,Galil,2,0,,,
2021-10-02 13:12:53,10382,Open Bag Surprise,13,MG,LWMMG,2,0,,,
2021-10-02 13:13:36,10382,Open Bag Surprise,14,HG,P38,2,0,,,
2021-10-02 13:14:07,10382,Open Bag Surprise,14,HG,P38,2,0,,,
2021-10-02 13:15:28,10382,Open Bag Surprise,15,RF,FF FN49,2,0,,,
2021-10-02 13:15:50,10382,Open Bag Surprise,15,HG,Bren Ten,2,0,,,
2021-10-02 13:16:05,10382,Open Bag Surprise,15,MG,LWMMG,2,0,,,
2021-10-02 13:16:53,10382,Open Bag Surprise,16,RF,FF FN49,2,0,,,
2021-10-02 13:17:24,10382,Open Bag Surprise,16,RF,FF FN49,2,0,,,
2021-10-02 13:18:07,10382,Open Bag Surprise,17,RF,SKS,2,0,,,
2021-10-02 13:18:29,10382,Open Bag Surprise,17,RF,FF FN49,2,0,,,
