Item ID,Item Name,Item Number
item-100050,Nova Medal – Il Teatrino,3
item-100051,Platinum Medal – Il Teatrino,1
item-100052,Augustus,0
item-100057,True Core Mask - Dual Randomness,1
item-100058,Nova Medal - Dual Randomness,69
item-100059,Platinum Medal - Dual Randomness,76
item-100062,Jade Coffer,20
item-100063,Strange Soap,0
item-100064,Nova Medal,55
item-100065,Platinum Medal,8
item-100069,Commander Headwear: Monster Overlord,1
item-100070,Phoenix Token,0
item-100071,Nova Medal - Bounty Feast,10
item-100072,Platinum Medal - Bounty Feast,142
item-100073,Star Ornament,0
item-100074,Nova Medal·A Snowy Night Capriccio,15
item-100075,Platinum Medal·A Snowy Night Capriccio,32
item-100085,Platinum Medal,1
item-100086,1st Anniversary Costume Voucher,0
item-100087,2nd Anniversary Costume Voucher,0
item-100088,3rd Anniversary Costume Voucher,0
item-100098,Nova Medal – My Devil's Frontline,56
item-100099,Platinum Medal – My Devil's Frontline,303
item-100100,Token of Life,10
item-100123,Xmas Coin,55
item-100125,Platinum Medal - One Coin Short,32
item-110001,Carnival Event Points,870
item-110002,Carnival Event Points,1250
item-110003,Carnival Event Points,1840
item-110004,Carnival Event Points,1820
item-110005,Event Points,2000
item-110006,Event Points,1750
item-110007,Event Points,1870
item-110008,Event Points,2090
item-110009,Event Points,2490
item-110010,Event Points,2400
item-110011,Event Points,2420
item-110012,Event Points,1860
item-110013,Event Points,2540
item-110014,Event Points,1570
item-110015,Event Points,1900
item-110016,Event Points,1840
item-110017,Event Points,1800
item-110018,Event Points,430
item-110019,Event Points,1060
item-900032,Nova Medal,1
item-900033,Platinum Medal,4
item-900034,Nova Medal·Shattered Connexion,11
item-900035,Platinum Medal·Shattered Connexion,38
item-900039,Xmas Supply Box,140
gift-1804,Fairy Lily,1
gift-2803,Little Chimney Sweeper,1
gift-5204,Bad Cop for Life,1
gift-100001,Lollipop,2364
gift-100002,Ice Cream Cone,216
gift-100003,Strawberry Custard Cheesecake,750
gift-100006,Magic of Happiness,1
gift-100007,Whiskey,20
gift-100008,Eden's Apple,10
gift-200001,Combat Report,5320
gift-200003,Beer on Discount,115
gift-200004,Paper Target,1
gift-200005,Kandel Formulation,20
gift-200006,Satan's Tears,10
gift-400001,Rapid Growth Disk,1091
furniture-10110,State-of-the-Art Workbench,10
furniture-10210,Large Cat Castle,10
furniture-10310,Integrated Canine Care Station,10
furniture-10410,Advanced Compound Bird Cage,10
furniture-10510,Fully-Automatic Twin-Level Temperature-Controlled Playpen,10
furniture-20110,Digital Era Desk,10
furniture-20210,Advanced Drone Console,10
furniture-20310,Advanced Automated Operating Station,10
furniture-20510,Modern Large Server,10
furniture-20410,Hard Disk Array Data Table,10
furniture-20610,Advanced Automated Writer,10
furniture-20700,Bookshelf of Memories,0
furniture-30110,Fairy Palace,10
furniture-30210,King Railway Hub Model,10
furniture-30310,Advanced Warehouse Model,10
furniture-30410,Twin Moon Weather System,10
furniture-40023,Cafe Bar Coffee Machine,0
furniture-40024,Gramophone,0
furniture-40026,Notebook,0
furniture-40027,Projector,0
furniture-40028,Comic Stand,0
furniture-40009,Luffberry chess,0
furniture-50110,Data Detection Hub,10
furniture-50210,Holographic Mission Center,10
furniture-50310,Ultra High-Speed Liquid-Cooled Storage,10
furniture-50410,Futuristic Analysis Terminal,10
furniture-60110,Storeroom,10
furniture-60203,Large Maintenance Machinery,3
furniture-60310,Integrated Indoor Training Range,10
furniture-60400,Elevator - To the camp,0
furniture-70100,Elevator - To the garage,0
furniture-70003,furniture_establish-10070003,0
furniture-70004,furniture_establish-10070004,0
furniture-70005,furniture_establish-10070005,0
furniture-70006,furniture_establish-10070006,0
furniture-70007,furniture_establish-10070007,0
furniture-70008,furniture_establish-10070008,0
furniture-70009,furniture_establish-10070009,0
furniture-70010,furniture_establish-10070010,0
furniture-80007,Real Time Relay Terminal,0
furniture-80011,Black Market Shop,0
furniture-80110,Advanced Gate Console,10
furniture-80306,Advanced Loot Rack,6
furniture-90110,Impulse Reactor,10
furniture-90205,Tactical Chip Research Station,5
furniture-90400,Symmetric Infusion Drive,0
